GB.MES2;GB.MES1;GB.AC;GB.OPC;GB.NPC1;GB.NPC2;GB.G1.S;GB.G2.M;Astrocyte;Neurons_inhib;Neurons_excit;Oligodendrocyte;OPC;Endothelial;Perivascular_fibroblast;Pericyte;SMC;T_cell;MG;BDM
ANGPTL4;TUBA1C;;NLGN3;SEZ6L;DBN1;;;AC002429.2;;;LINC01608;CHL1;TMEM132C;MCTP2;ITIH5;TBX18;RUNX3;;PLBD1
SLC39A14;GJA1;;SERINC5;LRRN1;NFIX;;;TNC;;;SPOCK3;GRID2;EMCN;CLMP;PTEN;SLC8A1;CLEC2D;;PIM1
CDKN1A;TNFRSF1A;;EPB41L2;SEZ6;CEP170;;;MAOB;;;UGT8;ARPP21;PLXNA2;NAV2;CACNA1C;ACTB;TOX;;FXYD5
HSPA9;WWTR1;;GPR37L1;SOX11;BLCAP;;;FUT9;;;SGK1;SOX6;DOCK9;F3;DGKB;INPP4B;ETS1;;ARG2
;;;;;;;;LINC01088;;;PALM2;XKR4;A2M;AC092957.1;PDE3A;NHS;CDC42SE2;;PQLC3
;;;;;;;;LGI1;;;NCAM2;RALYL;SYNE1;RBMS3;CYSLTR2;CALD1;ITK;;MS4A7
;;;;;;;;TENM2;;;KLHL32;FAM19A1;EPHA4;FRMD6;COL4A4;FILIP1;MYBL1;;
;;;;;;;;SLC4A4;;;SLC5A11;GRIA2;SLCO4A1;THBS1;NOTCH3;SETBP1;CHST11;;
;;;;;;;;ZNRF3;;;TRIM2;SORCS3;ST6GAL1;ALDH1A2;ARHGAP6;NR2F2-AS1;PDE7A;;
;;;;;;;;SLC25A18;;;NCKAP5;SCN1A;NXN;TNXB;UST;TPM2;LCP1;;
;;;;;;;;AQP4;;;ANO4;DGKG;SLCO2B1;RORA;TFPI;COL18A1;VAV3;;
;;;;;;;;KCNN3;;;CREB5;GRIA4;NEDD9;PRRX1;LZTS1;PLCE1;APBB1IP;;
;;;;;;;;ADCY8;;;ELMO1;COL11A1;SLC1A1;TBX18;CYTH3;PDLIM5;MBNL1;;
;;;;;;;;MTSS1L;;;UNC5C;LRP1B;CYYR1;AKR1C2;GRM3;TBX2;ANKRD44;;
;;;;;;;;SFXN5;;;PIEZO2;LRRC7;ACER2;NKD1;INPP4B;MFGE8;PTPN22;;
;;;;;;;;LINC00499;;;PLEKHH1;LINC01322;HLA-E;PDZRN3;CDH6;TBC1D1;TNFAIP8;;
;;;;;;;;MGST1;;;LPAR1;CHST11;ITGA1;VIT;SEMA5A;CARMIL1;TTC39C;;
;;;;;;;;FAT3;;;QDPR;LRRTM3;SCARB1;ROR2;AC022414.1;TMEM131L;EML4;;
;;;;;;;;SORBS1;;;PXK;CACNA1A;ANKS1A;CDH11;KCNE4;IGFBP4;SLC38A1;;
;;;;;;;;WDR49;;;LINC00639;SHISA9;CCNY;GHR;SLC12A7;RNF152;PLCL2;;
;;;;;;;;ARHGEF26;;;BCAS1;LINC00511;SMAD6;PIAS1;RHOJ;TIMP3;CNOT6L;;
;;;;;;;;LINC00511;;;AMER2;FAM155A;PTPRM;ADAMTS12;PRKG1;EPS8;PRKCH;;
;;;;;;;;PALLD;;;ANLN;PTPRT;MT2A;LTBP2;MPPED2;ARHGAP6;GNLY;;
;;;;;;;;CLU;;;CNTN2;ALK;ESYT2;TNFRSF19;MIR4435-2HG;PTP4A3;PIK3R5;;
;;;;;;;;ATP13A4;;;LRP2;CSMD2;ADGRF5;FBN1;ZIC1;SORBS2;SCML4;;
;;;;;;;;LINC00299;;;HHIP;DLGAP1;SORBS2;ZEB1;ENPEP;AC098829.1;CD53;;
;;;;;;;;PTPRZ1;;;KIF6;KHDRBS3;BACE2;LAMC3;DNAH11;PHLDB2;STK4;;
;;;;;;;;LINC01094;;;MOG;KAZN;TMSB10;SLC7A11;CARMN;DMD;STK17B;;
;;;;;;;;CARMIL1;;;CERCAM;AL445250.1;LEF1;FAM189A1;SLC6A1-AS1;MSRB3;FYN;;
